APIProvider,Model,ContextWindow,FunctionCalling,JSONMode,License,OpenAICompatible,APIID,Footnotes,ArtificialAnalysisIntelligence Index,ArtificialAnalysisOmniscience Index,GDPval-AAv2,𝜏³-Banking,Terminal-Benchv2.1,SciCode,Humanity'sLastExam,GPQADiamond,CritPt,AA-OmniscienceAccuracy,AA-OmniscienceNon-HallucinationRate,AA-LCR,AA-Briefcase,AutomationBench-AA,HarveyLAB-AA,Terminal-BenchHard,𝜏²-BenchTelecom,IFBench,APEX-Agents-AA,ITBench-AA,MMMU-Pro,LiveCodeBench,AIME2025,BlendedUSD/1M Tokens,InputPriceUSD/1M Tokens,OutputPriceUSD/1M Tokens,MedianTokens/s,P5Tokens/s,P25Tokens/s,P75Tokens/s,P95Tokens/s,MedianFirst Chunk (s),FirstAnswerToken (s),P5First Chunk (s),P25First Chunk (s),P75First Chunk (s),P95First Chunk (s),TotalResponse (s),ReasoningTime (s),FurtherAnalysis
Anthropic,Claude Fable 5 (with fallback),1m,,,Proprietary,,claude-fable-5,,60,40,63%,27%,85%,60%,53%,93%,29%,61%,45%,70%,"1,583",--,14%,63%,99%,63%,--,--,--,--,--,$7.70,$10.00,$50.00,67,49,54,73,82,46.22,46.22,19.73,32.11,97.54,107.29,53.72,N/A,ModelProviders
Google,Claude Fable 5 (with fallback),1m,,,Proprietary,,claude-fable-5,,60,40,63%,27%,85%,60%,53%,93%,29%,61%,45%,70%,"1,583",--,14%,63%,99%,63%,--,--,--,--,--,$7.70,$10.00,$50.00,65,47,54,71,87,51.53,51.53,18.20,32.87,112.87,190.99,59.19,N/A,ModelProviders
Microsoft Azure,Claude Fable 5 (with fallback),1m,,,Proprietary,,claude-fable-5,,60,40,63%,27%,85%,60%,53%,93%,29%,61%,45%,70%,"1,583",--,14%,63%,99%,63%,--,--,--,--,--,$14.00,$10.00,$50.00,64,45,55,71,84,56.00,56.00,24.44,39.34,132.26,239.40,63.79,N/A,ModelProviders
Anthropic,Claude Opus 4.8 (max),1m,,,Proprietary,,claude-opus-4-8,,56,27,55%,28%,85%,53%,46%,92%,21%,47%,64%,68%,"1,353",--,8%,58%,94%,62%,--,--,--,--,--,$3.85,$5.00,$25.00,61,40,46,66,88,19.82,19.82,4.17,8.58,36.92,56.36,27.99,N/A,ModelProviders
Amazon Bedrock,Claude Opus 4.8 (max),1m,,,Proprietary,,global.anthropic.claude-opus-4-8,,56,27,55%,28%,85%,53%,46%,92%,21%,47%,64%,68%,"1,353",--,8%,58%,94%,62%,--,--,--,--,--,$3.85,$5.00,$25.00,69,42,52,79,87,27.10,27.10,4.47,14.59,45.59,77.91,34.35,N/A,ModelProviders
Google,Claude Opus 4.8 (max),1m,,,Proprietary,,claude-opus-4-8,,56,27,55%,28%,85%,53%,46%,92%,21%,47%,64%,68%,"1,353",--,8%,58%,94%,62%,--,--,--,--,--,$3.85,$5.00,$25.00,67,44,53,76,91,22.94,22.94,4.12,12.03,44.99,112.05,30.42,N/A,ModelProviders
Amazon Bedrock,GPT-5.5 (xhigh),272k,,,Proprietary,,openai.gpt-5.5,,55,20,50%,31%,84%,56%,44%,94%,27%,57%,14%,74%,"1,158",--,4%,61%,94%,76%,38%,46%,80%,--,--,$4.79,$5.50,$33.00,82,51,73,96,"1,973",21.92,21.92,7.73,12.68,47.27,104.01,28.01,N/A,ModelProviders
OpenAI,GPT-5.5 (xhigh),1m,,,Proprietary,,gpt-5.5,,55,20,50%,31%,84%,56%,44%,94%,27%,57%,14%,74%,"1,158",--,4%,61%,94%,76%,38%,46%,80%,--,--,$4.35,$5.00,$30.00,75,55,68,95,127,38.93,38.93,9.02,18.21,83.11,143.05,45.57,N/A,ModelProviders
Google,Claude Opus 4.7 (max),1m,,,Proprietary,,claude-opus-4-7,,54,26,50%,29%,83%,55%,40%,91%,12%,46%,64%,70%,"1,289",--,--,52%,89%,59%,--,47%,79%,--,--,$3.85,$5.00,$25.00,71,51,59,89,110,15.13,15.13,2.69,8.14,29.35,72.92,22.23,N/A,ModelProviders
Microsoft Azure,Claude Opus 4.7 (max),1m,,,Proprietary,,claude-opus-4-7,,54,26,50%,29%,83%,55%,40%,91%,12%,46%,64%,70%,"1,289",--,--,52%,89%,59%,--,47%,79%,--,--,$3.85,$5.00,$25.00,55,36,42,61,84,16.77,16.77,4.19,7.40,22.36,91.36,25.84,N/A,ModelProviders
